1,WAP (feat. Megan Thee Stallion),Cardi B
2,Hawái,Maluma
3,Mood (feat. Iann Dior),24kGoldn
4,Dynamite,BTS
5,Blinding Lights,The Weeknd
6,Watermelon Sugar,Harry Styles
7,Savage Love (Laxed - Siren Beat),Jawsh 685
8,Laugh Now Cry Later (feat. Lil Durk),Drake
9,ROCKSTAR (feat. Roddy Ricch),DaBaby
10,Ice Cream (with Selena Gomez),BLACKPINK
11,Mood Swings (feat. Lil Tjay),Pop Smoke
12,Roses - Imanbek Remix,SAINt JHN
13,Heather,Conan Gray
14,For The Night (feat. Lil Baby & DaBaby),Pop Smoke
15,"Ay, DiOs Mío!",KAROL G
16,Breaking Me,Topic
17,Head & Heart (feat. MNEK),Joel Corry
18,UN DIA (ONE DAY) (Feat. Tainy),J Balvin
19,Come & Go (with Marshmello),Juice WRLD
20,La Curiosidad,Jay Wheeler
21,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money
22,Rain On Me (with Ariana Grande),Lady Gaga
23,Midnight Sky,Miley Cyrus
24,Tattoo - Remix with Camilo,Rauw Alejandro
25,La Jeepeta - Remix,Nio Garcia
26,Caramelo,Ozuna
27,Dance Monkey,Tones And I
28,Someone You Loved,Lewis Capaldi
29,Smile (with The Weeknd),Juice WRLD
30,you broke me first,Tate McRae
31,Relación,Sech
32,Wishing Well,Juice WRLD
33,death bed (coffee for your head),Powfu
34,Before You Go,Lewis Capaldi
35,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow
36,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy
37,Over Now (with The Weeknd),Calvin Harris
38,Go Crazy,Chris Brown
39,How You Like That,BLACKPINK
40,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke
41,Don't Start Now,Dua Lipa
42,Break My Heart,Dua Lipa
43,Blueberry Faygo,Lil Mosey
44,GREECE (feat. Drake),DJ Khaled
45,Djadja (feat. Maluma) - Remix,Aya Nakamura
46,MAMACITA,Black Eyed Peas
47,Stuck with U (with Justin Bieber),Ariana Grande
48,ily (i love you baby) (feat. Emilee),Surf Mesa
49,Kings & Queens,Ava Max
50,Mamichula - con Nicki Nicole,Trueno
51,Still Don't Know My Name,Labrinth
52,Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA
53,Party Girl,StaySolidRocky
54,Take You Dancing,Jason Derulo
55,Circles,Post Malone
56,Toosie Slide,Drake
57,Adore You,Harry Styles
58,The Box,Roddy Ricch
59,Mi Cuarto,Jerry Di
60,goosebumps,Travis Scott
61,my ex's best friend (with blackbear),Machine Gun Kelly
62,Lucid Dreams,Juice WRLD
63,Electric Love,BØRNS
64,Memories,Maroon 5
65,Falling,Trevor Daniel
66,Señorita,Shawn Mendes
67,Tusa,KAROL G
68,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
69,Intentions (feat. Quavo),Justin Bieber
70,cardigan,Taylor Swift
71,Robbery,Juice WRLD
72,my future,Billie Eilish
73,TKN (feat. Travis Scott),ROSALÍA
74,In Your Eyes,The Weeknd
75,bad guy,Billie Eilish
76,HIGHEST IN THE ROOM,Travis Scott
77,Be Kind (with Halsey),Marshmello
78,POPSTAR (feat. Drake),DJ Khaled
79,Hasta Que Dios Diga,Anuel AA
80,"Lean (feat. Towy, Osquel Beltito & Sammy & Falsetto)",Super Yei
81,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money
82,lovely (with Khalid),Billie Eilish
83,Dior,Pop Smoke
84,Stunnin' (feat. Harm Franklin),Curtis Waters
85,Favorito,Camilo
86,Ride It,Regard
87,Shallow,Lady Gaga
88,Say So,Doja Cat
89,Life Is Good (feat. Drake),Future
90,SICKO MODE,Travis Scott
91,Secrets,Regard
92,ROXANNE,Arizona Zervas
93,If the World Was Ending - feat. Julia Michaels,JP Saxe
94,"PORFA Remix ( Feat. Maluma Nicky Jam, Sech) - Remix",Feid
95,Be Like That - feat. Swae Lee & Khalid,Kane Brown
96,THE SCOTTS,THE SCOTTS
97,everything i wanted,Billie Eilish
98,Azul,J Balvin
99,Got It On Me,Pop Smoke
100,Falling,Harry Styles
101,Lets Link,WhoHeem
102,Sunday Best,Surfaces
103,Bande organisée,Jul
104,Believer,Imagine Dragons
105,exile (feat. Bon Iver),Taylor Swift
106,Supalonely,BENEE
107,Elegí (feat. Dímelo Flow),Rauw Alejandro
108,"The Plan - From the Motion Picture ""TENET""",Travis Scott
109,Rojo,J Balvin
110,Caramelo - Remix,Ozuna
111,Parce (feat. Justin Quiles),Maluma
112,Tak Tiki Tak,Harry Nach
113,Some Say - Felix Jaehn Remix,Nea
114,Godzilla (feat. Juice WRLD),Eminem
115,Play Date,Melanie Martinez
116,Yo Perreo Sola,Bad Bunny
117,hot girl bummer,blackbear
118,I Don't Care (with Justin Bieber),Ed Sheeran
119,After Party,Don Toliver
120,Say You Won't Let Go,James Arthur
121,Jocelyn Flores,XXXTENTACION
122,Not Shy,ITZY
123,Are You Bored Yet? (feat. Clairo),Wallows
124,Safaera,Bad Bunny
125,All Girls Are The Same,Juice WRLD
126,Nobody's Love,Maroon 5
127,7 rings,Ariana Grande
128,THE BADDEST,K/DA
129,Conversations,Juice WRLD
130,Perfect,Ed Sheeran
131,WHATS POPPIN,Jack Harlow
132,Money Trees,Kendrick Lamar
133,When I Look At You,Miley Cyrus
134,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD
135,Shape of You,Ed Sheeran
136,rockstar (feat. 21 Savage),Post Malone
137,Righteous,Juice WRLD
138,CÓMO SE SIENTE - Remix,Jhay Cortez
139,El Mismo Aire - con Pablo Alborán,Camilo
140,Lose Somebody,Kygo
141,Madrid,Maluma
142,SAD!,XXXTENTACION
143,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna
144,Oh Juliana,Niack
145,Chicago Freestyle (feat. Giveon),Drake
146,Lose Control,MEDUZA
147,when the party's over,Billie Eilish
148,Bohemian Rhapsody - 2011 Mix,Queen
149,Savage Remix (feat. Beyoncé),Megan Thee Stallion
150,Beautiful People (feat. Khalid),Ed Sheeran
151,Tap In,Saweetie
152,ADMV,Maluma
153,Jeans,Justin Quiles
154,Physical,Dua Lipa
155,the 1,Taylor Swift
156,No Guidance (feat. Drake),Chris Brown
157,21,Polo G
158,GO (feat. Juice WRLD),The Kid LAROI
159,GOOBA,6ix9ine
160,All of Me,John Legend
161,Quiéreme Mientras Se Pueda,Manuel Turizo
162,Boy With Luv (feat. Halsey),BTS
163,Someone To You,BANNERS
164,Boss Bitch,Doja Cat
165,Obey (with YUNGBLUD),Bring Me The Horizon
166,Without Me,Halsey
167,feel something,Bea Miller
168,Martin & Gina,Polo G
169,Happier,Marshmello
170,Be Alright,Dean Lewis
171,Jangueo,Alex Rose
172,Something Just Like This,The Chainsmokers
173,7 Summers,Morgan Wallen
174,Star Shopping,Lil Peep
175,"10,000 Hours (with Justin Bieber)",Dan + Shay
176,July,Noah Cyrus
177,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie
178,Let Her Go,Passenger
179,Get You The Moon (feat. Snøw),Kina
180,We Paid (feat. 42 Dugg),Lil Baby
181,The Less I Know The Better,Tame Impala
182,Mariposa,Peach Tree Rascals
183,RITMO (Bad Boys For Life),Black Eyed Peas
184,Bruises,Lewis Capaldi
185,Ain't It Different (feat. AJ Tracey & Stormzy),Headie One
186,Alane,Robin Schulz
187,What's Love Got to Do with It,Kygo
188,Moonlight,XXXTENTACION
189,+Linda,Dalex
190,Sweater Weather,The Neighbourhood
191,OUT WEST (feat. Young Thug),JACKBOYS
192,Maniac,Conan Gray
193,Reggaetonera,Anuel AA
194,Lose You To Love Me,Selena Gomez
195,Unterwegs,KitschKrieg
196,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke
197,It's You,Ali Gatie
198,Anaranjado,Jowell & Randy
